Timestamp (ART),Red,Tipo de mensaje,Recibido de (nombre de la red),Message
2026-03-10 16:46:40,Twitter,Tweet,tomysorgentini,"@LulaBernini @elearningUTN Yo que ustedes le doy bolilla, no la conocen enojada a la Lula"
2026-03-10 14:41:00,Twitter,Follower Alert,LulaBernini,
2026-03-10 13:39:35,Twitter,Tweet,Just_Sank0,"Abro hilo para contar mi experiencia con @elearningUTN.

Hace días intento comunicarme con soporte por un problema con la plataforma y no recibo respuesta por WhatsApp ni por mail.

Comparto lo que pasó porque veo que no soy el unico que le sucede esto"
2026-03-10 13:34:53,Twitter,Follower Alert,Franormem,
2026-03-10 13:04:21,Twitter,Tweet,Just_Sank0,"@elearningUTN Buenos dias,vengo solicitando soporte hace ya 4 dias mediante whatsapp y me dejan en visto o dan respuestas vagas,solicito ayuda inmediatamente !!"
2026-03-09 17:50:29,Twitter,Tweet,ivanaaranaz,@elearningUTN Hace 2 meses compré un curso que empezaba el 4 de marzo al día de la fecha siguen sin darme respuesta de porque no figura activo!
2026-03-09 16:59:48,Twitter,Tweet,Maxi77Rodrigues,@elearningUTN @elearningUTN  no responde las consultas NO FUNCIONA LOS CANALES  que te dan ni WhatsApp ni chatbot!!! No puedo ingresar y ya me cobraronnla cursada hace una semana reclamo
2026-03-09 16:57:21,Twitter,Follower Alert,Maxi77Rodrigues,
2026-03-09 14:27:31,Twitter,Tweet,ydhstwn27,"📢 FRЕЅH NЕWS: Elon Musk announces the introduction of its own X digital currency 🚀

📌 Learn more: https://t.co/TkZ9tpj6Eu

👥 Invited users: @MartinCuervoSL @holder_pat90541 @elearningUTN"
2026-03-09 11:15:36,Twitter,Tweet,JMKirichian,"@elearningUTN @MinnieLinger Veo que es un problema super recurrente. Me pasó lo mismo, sigo aguardando respuesta"
2026-03-08 12:00:31,Twitter,Follower Alert,David_Escobar74,
2026-03-08 02:33:09,Twitter,Tweet,Kenneth1948426,"EXCLUSIVE!:
Tesla unveils the launch of X's own X cryptocurrency.
Further info: ▶️ https://t.co/uPGPX9RK7B

by Elon's X. @JoePang3268 @elearningUTN @echeliny"
2026-03-06 20:29:04,Twitter,Retweet With Comment,RealidadEmpode1,@EstrategaEduTIC @copitec @DiegoGolombek @elnicomontanaro @UNDAVOFICIAL @UpeaBolivia @UNLZoficial @EducacionIT @elearningUTN @CursosEnLaUBA @cupeduar @UNACAR @UNLaOficial @uceloficial @UNLitoral https://t.co/bjytSS4yQj
2026-03-06 13:28:46,Twitter,Follower Alert,atheneaxcx,
2026-03-04 19:27:41,Twitter,Tweet,MinnieLinger,@elearningUTN Nadie responde el WhatsApp
2026-03-04 19:19:14,Twitter,Tweet,MinnieLinger,"@elearningUTN se supone que hoy arranca la diplomatura en product management y no llegó ningún Mail, no se puede acceder al campus y nadie responde al WhatsApp. La clase empezaba a las 19hs según la inscripción, alguien puede indicar que hacer?!"
2026-03-04 16:38:49,Twitter,Tweet,santiarceo_,@elearningUTN Buenas tardes preciso ayuda y no me permite escribirles!
2026-03-04 16:38:20,Twitter,Follower Alert,santiarceo_,
2026-03-04 16:38:16,Twitter,Tweet,santiarceo_,@elearningUTN necesito ayuda urgente!!! por favor
